CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;06/12/2015;24;0,196;R
ES0000000000000000AA;07/12/2015;1;0,192;R
ES0000000000000000AA;07/12/2015;2;0,159;R
ES0000000000000000AA;07/12/2015;3;0,145;R
ES0000000000000000AA;07/12/2015;4;0,131;R
ES0000000000000000AA;07/12/2015;5;0,14;R
ES0000000000000000AA;07/12/2015;6;0,134;R
ES0000000000000000AA;07/12/2015;7;0,132;R
ES0000000000000000AA;07/12/2015;8;0,146;R
ES0000000000000000AA;07/12/2015;9;0,14;R
ES0000000000000000AA;07/12/2015;10;0,257;R
ES0000000000000000AA;07/12/2015;11;0,186;R
ES0000000000000000AA;07/12/2015;12;0,218;R
ES0000000000000000AA;07/12/2015;13;0,244;R
ES0000000000000000AA;07/12/2015;14;0,203;R
ES0000000000000000AA;07/12/2015;15;0,253;R
ES0000000000000000AA;07/12/2015;16;0,362;R
ES0000000000000000AA;07/12/2015;17;0,398;R
ES0000000000000000AA;07/12/2015;18;0,358;R
ES0000000000000000AA;07/12/2015;19;0,288;R
ES0000000000000000AA;07/12/2015;20;0,232;R
ES0000000000000000AA;07/12/2015;21;0,173;R
ES0000000000000000AA;07/12/2015;22;0,264;R
ES0000000000000000AA;07/12/2015;23;0,244;R
ES0000000000000000AA;07/12/2015;24;0,21;R
ES0000000000000000AA;08/12/2015;1;0,357;R
ES0000000000000000AA;08/12/2015;2;0,144;R
ES0000000000000000AA;08/12/2015;3;0,16;R
ES0000000000000000AA;08/12/2015;4;0,139;R
ES0000000000000000AA;08/12/2015;5;0,138;R
ES0000000000000000AA;08/12/2015;6;0,153;R
ES0000000000000000AA;08/12/2015;7;0,122;R
ES0000000000000000AA;08/12/2015;8;0,158;R
ES0000000000000000AA;08/12/2015;9;0,114;R
ES0000000000000000AA;08/12/2015;10;0,332;R
ES0000000000000000AA;08/12/2015;11;0,302;R
ES0000000000000000AA;08/12/2015;12;0,368;R
