Fecha;Hora;Gi;Ta;PFV
2015-1-15;6;0;3,6;0,00
2015-1-15;7;0;3,3;0,00
2015-1-15;8;0;3;0,00
2015-1-15;9;24;3,8;5,69
2015-1-15;10;66;4,4;15,49
2015-1-15;11;40;4,4;9,43
2015-1-15;12;11;4,2;2,61
2015-1-15;13;19;4;4,50
2015-1-15;14;215;4,7;49,24
2015-1-15;15;328;5,3;73,56
2015-1-15;16;197;5,4;45,10
2015-1-15;17;9;5;2,13
2015-1-15;18;0;4,9;0,00
2015-1-15;19;0;4,9;0,00
2015-1-15;20;0;4,9;0,00
2015-1-15;21;0;4,8;0,00
2015-1-15;22;0;4,8;0,00
2015-1-15;23;0;4,7;0,00
2015-1-15;24;0;4,7;0,00
2015-1-16;1;0;4,7;0,00
2015-1-16;2;0;4,8;0,00
2015-1-16;3;0;4,9;0,00
2015-1-16;4;0;4,9;0,00
2015-1-16;5;0;5;0,00
2015-1-16;6;0;5,1;0,00
2015-1-16;7;0;5,1;0,00
2015-1-16;8;0;5,2;0,00
2015-1-16;9;17;5,8;4,00
2015-1-16;10;63;6,4;14,66
2015-1-16;11;272;7,6;60,88
2015-1-16;12;344;8,5;75,77
2015-1-16;13;168;8,8;38,02
2015-1-16;14;49;8,2;11,33
2015-1-16;15;103;8,2;23,62
2015-1-16;16;62;7,9;14,33
2015-1-16;17;60;7,6;13,89
2015-1-16;18;0;7,5;0,00
2015-1-16;19;0;7,5;0,00
2015-1-16;20;0;7,4;0,00
2015-1-16;21;0;7,4;0,00
2015-1-16;22;0;7,4;0,00
2015-1-16;23;0;7,3;0,00
2015-1-16;24;0;7,3;0,00
2015-1-17;1;0;7,1;0,00
2015-1-17;2;0;7;0,00
2015-1-17;3;0;6,8;0,00
2015-1-17;4;0;6,7;0,00
2015-1-17;5;0;6,6;0,00
2015-1-17;6;0;6,4;0,00
2015-1-17;7;0;6,3;0,00
2015-1-17;8;0;6,2;0,00
2015-1-17;9;100;7,2;23,05
2015-1-17;10;56;7,5;12,98
2015-1-17;11;370;8,8;81,03
2015-1-17;12;526;10;111,53
2015-1-17;13;535;10,8;112,81
2015-1-17;14;125;10,4;28,27
2015-1-17;15;72;9,9;16,46
2015-1-17;16;77;9,5;17,62
2015-1-17;17;16;8,9;3,71
2015-1-17;18;0;8,9;0,00
2015-1-17;19;0;8,9;0,00
2015-1-17;20;0;8,8;0,00
2015-1-17;21;0;8,8;0,00
2015-1-17;22;0;8,7;0,00
2015-1-17;23;0;8,7;0,00
2015-1-17;24;0;8,7;0,00
2015-1-18;1;0;8,5;0,00
2015-1-18;2;0;8,4;0,00
2015-1-18;3;0;8,3;0,00
2015-1-18;4;0;8,2;0,00
2015-1-18;5;0;8,1;0,00
2015-1-18;6;0;8;0,00
2015-1-18;7;0;7,9;0,00
2015-1-18;8;0;7,8;0,00
2015-1-18;9;100;8,8;22,88
2015-1-18;10;348;10,1;76,00
2015-1-18;11;558;11,5;116,77
2015-1-18;12;482;12,2;101,83
2015-1-18;13;227;12,3;50,03
2015-1-18;14;113;11,8;25,44
2015-1-18;15;40;11,1;9,14
2015-1-18;16;30;10,6;6,88
2015-1-18;17;125;10,2;28,30
2015-1-18;18;0;10,2;0,00
2015-1-18;19;0;10,2;0,00
2015-1-18;20;0;10,2;0,00
2015-1-18;21;0;10,2;0,00
2015-1-18;22;0;10,2;0,00
2015-1-18;23;0;10,2;0,00
2015-1-18;24;0;10,2;0,00
2015-1-19;1;0;10,1;0,00
2015-1-19;2;0;10;0,00
2015-1-19;3;0;9,9;0,00
2015-1-19;4;0;9,9;0,00
2015-1-19;5;0;9,8;0,00
2015-1-19;6;0;9,7;0,00
2015-1-19;7;0;9,6;0,00
2015-1-19;8;0;9,6;0,00
2015-1-19;9;202;11,4;44,90
2015-1-19;10;397;13;84,76
2015-1-19;11;426;14,1;90,00
2015-1-19;12;126;13,8;28,03
2015-1-19;13;130;13,6;28,93
2015-1-19;14;220;13,9;48,17
2015-1-19;15;123;13,7;27,39
2015-1-19;16;237;13,6;51,82
2015-1-19;17;29;13;6,58
2015-1-19;18;0;12,7;0,00
2015-1-19;19;0;12,3;0,00
2015-1-19;20;0;12;0,00
2015-1-19;21;0;11,7;0,00
2015-1-19;22;0;11,3;0,00
2015-1-19;23;0;11;0,00
2015-1-19;24;0;10,6;0,00
2015-1-20;1;0;10,2;0,00
2015-1-20;2;0;9,8;0,00
2015-1-20;3;0;9,4;0,00
2015-1-20;4;0;9;0,00
2015-1-20;5;0;8,6;0,00
2015-1-20;6;0;8,1;0,00
2015-1-20;7;0;7,7;0,00
2015-1-20;8;0;7,3;0,00
2015-1-20;9;109;8,6;24,93
2015-1-20;10;467;10,6;99,72
2015-1-20;11;713;12,3;144,58
2015-1-20;12;833;13,7;164,04
2015-1-20;13;632;14,3;128,66
2015-1-20;14;386;14,2;82,07
2015-1-20;15;198;13,6;43,57
2015-1-20;16;256;12,9;55,99
2015-1-20;17;169;12;37,66
2015-1-20;18;0;11,8;0,00
2015-1-20;19;0;11,7;0,00
2015-1-20;20;0;11,5;0,00
2015-1-20;21;0;11,3;0,00
2015-1-20;22;0;11,1;0,00
2015-1-20;23;0;10,9;0,00
2015-1-20;24;0;10,7;0,00
2015-1-21;1;0;10,5;0,00
2015-1-21;2;0;10,4;0,00
2015-1-21;3;0;10,2;0,00
2015-1-21;4;0;10,1;0,00
2015-1-21;5;0;9,9;0,00
2015-1-21;6;0;9,8;0,00
2015-1-21;7;0;9,6;0,00
2015-1-21;8;0;9,5;0,00
2015-1-21;9;85;10,7;19,32
2015-1-21;10;411;12,6;87,71
2015-1-21;11;487;13,9;101,91
2015-1-21;12;662;15,2;133,40
2015-1-21;13;678;16;135,65
2015-1-21;14;435;16,3;90,73
2015-1-21;15;208;15,7;45,23
2015-1-21;16;400;15,4;84,32
2015-1-21;17;169;14,6;37,19
2015-1-21;18;0;14,4;0,00
2015-1-21;19;0;14,2;0,00
2015-1-21;20;0;14;0,00
2015-1-21;21;0;13,8;0,00
2015-1-21;22;0;13,6;0,00
2015-1-21;23;0;13,4;0,00
2015-1-21;24;0;13,2;0,00
2015-1-22;1;0;13;0,00
2015-1-22;2;0;12,7;0,00
2015-1-22;3;0;12,5;0,00
2015-1-22;4;0;12,3;0,00
2015-1-22;5;0;12;0,00
2015-1-22;6;0;11,8;0,00
2015-1-22;7;0;11,6;0,00
2015-1-22;8;0;11,4;0,00
2015-1-22;9;24;12,2;5,47
2015-1-22;10;139;13,3;30,93
2015-1-22;11;130;13,9;28,89
2015-1-22;12;354;15;75,37
2015-1-22;13;199;15,4;43,40
2015-1-22;14;156;15,4;34,27
2015-1-22;15;141;15,4;31,05
2015-1-22;16;83;15,1;18,48
2015-1-22;17;37;14,5;8,32
2015-1-22;18;0;14,3;0,00
2015-1-22;19;0;14;0,00
2015-1-22;20;0;13,7;0,00
2015-1-22;21;0;13,4;0,00
2015-1-22;22;0;13,2;0,00
2015-1-22;23;0;12,9;0,00
2015-1-22;24;0;12,6;0,00
2015-1-23;1;0;12,3;0,00
2015-1-23;2;0;12;0,00
2015-1-23;3;0;11,7;0,00
2015-1-23;4;0;11,4;0,00
2015-1-23;5;0;11,1;0,00
2015-1-23;6;0;10,8;0,00
2015-1-23;7;0;10,5;0,00
2015-1-23;8;0;10,2;0,00
2015-1-23;9;3;10,4;0,69
2015-1-23;10;6;10,4;1,38
2015-1-23;11;16;10,5;3,68
2015-1-23;12;14;10,5;3,22
2015-1-23;13;22;10,6;5,05
2015-1-23;14;13;10,5;2,99
2015-1-23;15;9;10,5;2,07
2015-1-23;16;7;10,4;1,61
2015-1-23;17;1;10,3;0,23
2015-1-23;18;0;10,3;0,00
2015-1-23;19;0;10,2;0,00
2015-1-23;20;0;10,1;0,00
2015-1-23;21;0;10,1;0,00
2015-1-23;22;0;10;0,00
2015-1-23;23;0;9,9;0,00
